Date,gold,oil,tsx,vix
2013-07-29,1363.72,107.1631,12669.04,13.97
2013-07-30,1364.39,106.2741,12581.75,14.88
2013-07-31,1348.82,108.1937,12486.64,15.03
2013-08-01,1356.44,111.5722,12593.96,13.95
2013-08-02,1361.38,111.006,12603.25,13.14
2013-08-06,1331.4,109.5938,12469.32,14.1
2013-08-07,1340.53,108.6554,12412.73,14.32
2013-08-08,1353.61,107.1871,12552.92,12.86
2013-08-09,1350.86,109.2207,12542.13,13.4
2013-08-12,1375.7,109.5511,12594.27,15.09
2013-08-13,1366.57,110.2156,12642.19,14.5
2013-08-14,1379.67,110.5872,12639.3,14.37
2013-08-15,1403.13,110.4531,12704.52,14.59
2013-08-16,1417.78,111.1276,12736.92,14.73
2013-08-19,1413.41,110.54700000000001,12588.02,14.99
2013-08-20,1426.75,109.3483,12670.11,13.22
2013-08-21,1435.63,108.5784,12573.08,13.73
2013-08-22,1442.0,110.5913,12674.35,13.73
2013-08-23,1464.84,111.6295,12762.3,13.35
2013-08-26,1462.62,111.5194,12760.3,14.61
2013-08-27,1488.01,114.8993,12591.21,15.73
2013-08-28,1488.05,115.0359,12607.22,15.44
2013-08-29,1488.05,113.1268,12704.73,15.16
2013-08-30,1471.13,113.4348,12653.9,15.52
2013-09-03,1487.57,114.3362,12740.5,15.53
2013-09-04,1458.6,112.5963,12757.81,14.94
2013-09-05,1442.64,113.8822,12845.06,14.49
2013-09-06,1442.83,114.8412,12820.92,14.84
2013-09-09,1438.29,112.6537,12854.64,14.64
2013-09-10,1411.67,111.1284,12824.48,14.98
2013-09-11,1407.53,111.0532,12825.42,14.33
2013-09-12,1373.25,112.2324,12701.05,14.77
2013-09-13,1354.45,112.3418,12723.4,14.63
2013-09-16,1360.62,109.4151,12816.88,14.41
2013-09-17,1348.33,107.876,12834.11,13.93
2013-09-18,1336.54,109.9409,12931.4,13.15
2013-09-19,1405.38,108.6469,12926.78,13.41
2013-09-20,1373.0,108.0498,12806.47,13.43
2013-09-23,1364.56,106.335,12811.18,14.17
2013-09-24,1355.58,106.4183,12848.89,13.24
2013-09-25,1377.78,105.5646,12836.71,13.25
2013-09-26,1364.68,105.9927,12841.62,12.91
2013-09-27,1379.37,105.9561,12844.08,13.77
2013-09-30,1367.67,105.6812,12787.19,14.47
2013-10-01,1327.42,104.94200000000001,12847.44,13.62
2013-10-02,1364.96,107.2928,12839.0,14.67
2013-10-03,1361.37,106.4314,12735.12,14.99
2013-10-04,1348.4,106.6892,12758.65,14.03
2013-10-07,1366.34,106.4028,12788.25,15.63
2013-10-08,1372.94,107.3021,12692.41,16.67
2013-10-09,1358.24,105.4999,12730.33,16.54
2013-10-10,1348.24,106.762,12894.41,13.52
2013-10-11,1312.36,105.4036,12892.11,14.32
2013-10-15,1321.5,104.8689,12931.46,13.97
2013-10-16,1323.97,105.4959,12957.21,13.11
2013-10-17,1361.08,103.8122,13036.36,11.99
2013-10-18,1351.99,104.0278,13136.09,11.22
2013-10-21,1355.41,102.5047,13186.53,12.02
2013-10-22,1380.75,101.0331,13248.06,12.35
2013-10-23,1385.01,100.8224,13243.32,11.62
2013-10-24,1407.04,101.2276,13324.75,11.43
2013-10-25,1413.17,102.2586,13399.42,11.3
2013-10-28,1412.01,102.8146,13371.84,12.39
2013-10-29,1408.44,102.177,13440.61,12.01
2013-10-30,1413.6,101.1206,13455.33,12.18
2013-10-31,1380.62,100.4913,13361.26,12.78
2013-11-01,1368.38,98.5929,13337.46,13.17
